type,local_path,remote_path,size,md5,sha1,source_pdf,source_pages,preflight_status
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00134.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00134.jpg",597381,e29d25a2018eb7ffba5cc7cdf80e985c,e12af2c992fb94603b7a5a3025da291f354043b2,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00135.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00135.jpg",598546,9bfd36d3992cd304d3b5319879e986a3,a46733362eeb91df2ce304b1f25f3b3ce2f089d3,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00136.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00136.jpg",1331308,071634e0a592fb78706ad74dd22a367c,66d3bc1e374e3dc2c7147b7e05ac5a12549ef113,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00137.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00137.jpg",1336284,cb8125d2fc66efc66a28665d273b0ea4,ba174843b8c1cdf3e656bbdd20a4f6db73841456,,,already-present-matching
membership-image,"resources/source-cds/11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00138.jpg","11-Llanelli,1847-1868,LR117577/Images/LR 12451 7_00138.jpg",365010,54bba9612fa96c7b72f8dbb0daa41e1c,5a63cc681239d3f481451bb3e24e158ab792bc87,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00101.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00101.jpg",688267,deea322fff4b07a0310654ce4399cb51,c73298424165d1ea9858920a58582f5c2d492cda,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00102.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00102.jpg",697979,10c0863196067d18e9ea546d532e872b,a38c2d324b175e2d7c92f9b00d4d46feee4ba100,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00103.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00103.jpg",606530,2624759e1777fe65a6c338011195df72,7da26a0b3eae6c37761d7714b79c97ca00395a5b,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00104.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00104.jpg",584796,b81fba7df6a0bd1f12dfd1892508965a,15ce38f72449b9cb3ad97aedce91cb8ce67d76d1,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00105.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00105.jpg",1354415,f1a0ea5a039ef97687f4dd34889ef616,731690a7c73f319a1bc2b3c7f5398f3af2a4a119,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00106.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00106.jpg",1236428,c04ae8676e020305ed0acae87bf1673f,d018b26bd229a9129793709c41dd8faa09880cb7,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00108.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00108.jpg",447071,9cca8efa335f95d537134184bae48993,4dc94294a6619ff2a2cb9c4e8821e6f010ebb3a5,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00109.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00109.jpg",352823,08e3b8b951e0f95ee247af57e78ab0a2,900672c28a152a682e0412b40d080bf87521898e,,,already-present-matching
membership-image,"resources/source-cds/12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00110.jpg","12-Cefn Coed-y-Cymmer,1847-1864,LR1767/images/1545__M_00110.jpg",370684,a3fee106d94a5f68585ce89c73f98d11,8b3d18b03591a7407bc90ec2faad748ead442c4f,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00102.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00102.jpg",582105,9e2012e7e7ce9955ba6e1ec1e2c0a159,95f677f4f5cb4ab842ab8be524472d9ac43deef8,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00103.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00103.jpg",577305,a3b070aa741f39a1109558238a42364e,8a07c4498cfa1693d0b317ee2af59dcbd85efa17,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00104.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00104.jpg",845089,bc007c3b33e43a904b03c4ec0eea7190,84ddc45d28c2ab1976b901a1468cb55c005bb9a7,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00105.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00105.jpg",916355,a455a8dc2cceb79b34460503a7ae7215,5b5bf27bb62b09013b21cd32d00cda23a13188a5,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00106.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00106.jpg",690869,4dc6b7ee04f4f73036a5d65795e737dc,b9526f6f5b7261babed670c0ea3a66850d737f20,,,already-present-matching
