basename,local_file_count,branch_count,branches,distinct_md5_count,paths
848__M_00043.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00043.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00043.jpg"
848__M_00044.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00044.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00044.jpg"
848__M_00045.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00045.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00045.jpg"
848__M_00046.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00046.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00046.jpg"
848__M_00047.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00047.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00047.jpg"
848__M_00048.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00048.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00048.jpg"
848__M_00049.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00049.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00049.jpg"
848__M_00050.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00050.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00050.jpg"
848__M_00051.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00051.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00051.jpg"
848__M_00052.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00052.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00052.jpg"
848__M_00053.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00053.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00053.jpg"
848__M_00054.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00054.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00054.jpg"
848__M_00055.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00055.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00055.jpg"
848__M_00056.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00056.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00056.jpg"
848__M_00057.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00057.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00057.jpg"
848__M_00058.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00058.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00058.jpg"
848__M_00059.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00059.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00059.jpg"
848__M_00060.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00060.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00060.jpg"
848__M_00061.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00061.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00061.jpg"
848__M_00062.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00062.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00062.jpg"
848__M_00063.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00063.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00063.jpg"
848__M_00064.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00064.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00064.jpg"
848__M_00065.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00065.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00065.jpg"
848__M_00066.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00066.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00066.jpg"
848__M_00067.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00067.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00067.jpg"
848__M_00068.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00068.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00068.jpg"
848__M_00069.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00069.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00069.jpg"
848__M_00070.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00070.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00070.jpg"
848__M_00071.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00071.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00071.jpg"
848__M_00072.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00072.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00072.jpg"
848__M_00073.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00073.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00073.jpg"
848__M_00074.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00074.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00074.jpg"
848__M_00075.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00075.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00075.jpg"
848__M_00076.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00076.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00076.jpg"
848__M_00077.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00077.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00077.jpg"
848__M_00078.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00078.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00078.jpg"
848__M_00079.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00079.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00079.jpg"
848__M_00080.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00080.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00080.jpg"
848__M_00081.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00081.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00081.jpg"
848__M_00082.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00082.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00082.jpg"
848__M_00083.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00083.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00083.jpg"
848__M_00084.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00084.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00084.jpg"
